season,race_name,fullname,numero_quali,tiempo_ms
2021,Dutch Grand Prix,Yuki Tsunoda,2,71314.0
2021,Dutch Grand Prix,Yuki Tsunoda,3,0.0
2021,Emilia Romagna Grand Prix,Antonio Giovinazzi,1,76122.0
2021,Emilia Romagna Grand Prix,Antonio Giovinazzi,2,0.0
2021,Emilia Romagna Grand Prix,Antonio Giovinazzi,3,0.0
2021,Emilia Romagna Grand Prix,Carlos Sainz,1,75406.0
2021,Emilia Romagna Grand Prix,Carlos Sainz,2,75199.0
2021,Emilia Romagna Grand Prix,Carlos Sainz,3,0.0
2021,Emilia Romagna Grand Prix,Charles Leclerc,1,75413.0
2021,Emilia Romagna Grand Prix,Charles Leclerc,2,74808.0
2021,Emilia Romagna Grand Prix,Charles Leclerc,3,74740.0
2021,Emilia Romagna Grand Prix,Daniel Ricciardo,1,75669.0
2021,Emilia Romagna Grand Prix,Daniel Ricciardo,2,75033.0
2021,Emilia Romagna Grand Prix,Daniel Ricciardo,3,74826.0
2021,Emilia Romagna Grand Prix,Esteban Ocon,1,75385.0
2021,Emilia Romagna Grand Prix,Esteban Ocon,2,75117.0
2021,Emilia Romagna Grand Prix,Esteban Ocon,3,75210.0
2021,Emilia Romagna Grand Prix,Fernando Alonso,1,75832.0
2021,Emilia Romagna Grand Prix,Fernando Alonso,2,75593.0
2021,Emilia Romagna Grand Prix,Fernando Alonso,3,0.0
2021,Emilia Romagna Grand Prix,George Russell,1,75826.0
2021,Emilia Romagna Grand Prix,George Russell,2,75261.0
2021,Emilia Romagna Grand Prix,George Russell,3,0.0
2021,Emilia Romagna Grand Prix,Kimi Räikkönen,1,75974.0
2021,Emilia Romagna Grand Prix,Kimi Räikkönen,2,0.0
2021,Emilia Romagna Grand Prix,Kimi Räikkönen,3,0.0
2021,Emilia Romagna Grand Prix,Lance Stroll,1,75522.0
2021,Emilia Romagna Grand Prix,Lance Stroll,2,75138.0
2021,Emilia Romagna Grand Prix,Lance Stroll,3,0.0
